Order ID,Order Date,Account Manager,Country,City,Region,Subregion,Customer,Customer ID,Industry,Segment,Product,Sales,Units Sold,Discount,Profit,Year,Month,Quarter
AMER-2020-143336,27-08-2020,Blake Hughes,United States,Los Angeles,AMER,NAMER,Wells Fargo,1099,Finance,SMB,ContactMatcher,22.72,4,0.2,7.384,2020,8,3
AMER-2022-137330,10-12-2022,Melanie Sharp,Costa Rica,San JosÃ©,AMER,LATAM,Carrefour,1048,Retail,Strategic,ChatBot Plugin,19.46,7,0,5.0596,2022,12,4
AMER-2022-137330,10-12-2022,Melanie Sharp,Costa Rica,San JosÃ©,AMER,LATAM,Carrefour,1048,Retail,Strategic,OneView,60.34,7,0,15.6884,2022,12,4
EMEA-2023-156909,17-07-2023,Luke Bower,France,Paris,EMEA,EU-WEST,Costco Wholesale,1025,Retail,SMB,FinanceHub,71.372,2,0.3,-1.0196,2023,7,3
AMER-2022-121755,16-01-2022,Sam Parsons,United States,New York City,AMER,NAMER,Siemens,1043,Manufacturing,SMB,ContactMatcher,11.648,2,0.2,4.2224,2022,1,1
AMER-2022-121755,16-01-2022,Sam Parsons,United States,New York City,AMER,NAMER,Siemens,1043,Manufacturing,SMB,Data Smasher,90.57,3,0,11.7741,2022,1,1
EMEA-2021-150630,17-09-2021,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,SaaS Connector Pack,124.2,3,0.2,15.525,2021,9,3
EMEA-2021-150630,17-09-2021,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,SaaS Connector Pack - Gold,3.264,2,0.2,1.1016,2021,9,3
EMEA-2021-150630,17-09-2021,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,ChatBot Plugin,86.304,6,0.2,9.7092,2021,9,3
EMEA-2021-150630,17-09-2021,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,ChatBot Plugin,15.76,2,0.2,3.546,2021,9,3
APJ-2023-107727,20-10-2023,Amelia Campbell,Japan,Tokyo,APJ,JAPN,Glencore,1083,Misc,Enterprise,Support,29.472,3,0.2,9.9468,2023,10,4
APJ-2021-117415,27-12-2021,Jasmine Metcalfe,Japan,Tokyo,APJ,JAPN,Banco Santander,1101,Finance,Enterprise,SaaS Connector Pack - Gold,113.328,9,0.2,35.415,2021,12,4
APJ-2021-117415,27-12-2021,Jasmine Metcalfe,Japan,Tokyo,APJ,JAPN,Banco Santander,1101,Finance,Enterprise,FinanceHub,212.058,3,0.3,-15.147,2021,12,4
APJ-2021-117415,27-12-2021,Jasmine Metcalfe,Japan,Tokyo,APJ,JAPN,Banco Santander,1101,Finance,Enterprise,Site Analytics,371.168,4,0.2,41.7564,2021,12,4
APJ-2023-120999,11-09-2023,Karen Mathis,Australia,Wollongong,APJ,ANZ,Pemex,1058,Energy,Strategic,Site Analytics,147.168,4,0.2,16.5564,2023,9,3
AMER-2022-101343,18-07-2022,Dylan Dickens,United States,New York City,AMER,NAMER,Siemens,1043,Manufacturing,Strategic,Marketing Suite - Gold,77.88,2,0,3.894,2022,7,3
EMEA-2023-139619,20-09-2023,Sophie Lewis,Germany,Hanover,EMEA,EU-WEST,Samsung Electronics,1015,Tech,Strategic,Marketing Suite - Gold,95.616,2,0.2,9.5616,2023,9,3
EMEA-2022-118255,12-03-2022,Gavin Mitchell,Luxembourg,Luxembourg,EMEA,EU-WEST,Sony,1028,Tech,Strategic,Data Smasher,45.98,2,0,19.7714,2022,3,1
EMEA-2022-118255,12-03-2022,Gavin Mitchell,Luxembourg,Luxembourg,EMEA,EU-WEST,Sony,1028,Tech,Strategic,ContactMatcher,17.46,2,0,8.2062,2022,3,1
AMER-2020-146703,20-10-2020,Katherine Dowd,Brazil,Salvador,AMER,LATAM,Morgan Stanley,1068,Finance,SMB,Marketing Suite - Gold,211.96,4,0,8.4784,2020,10,4
APJ-2022-169194,21-06-2022,Harry Brown,Philippines,Davao City,APJ,APAC,Bank of America Corp.,1011,Finance,SMB,Data Smasher,45,3,0,4.95,2022,6,2
APJ-2022-169194,21-06-2022,Harry Brown,Philippines,Davao City,APJ,APAC,Bank of America Corp.,1011,Finance,SMB,Site Analytics,21.8,2,0,6.104,2022,6,2
APJ-2021-115742,18-04-2021,Brian Dickens,India,Kolkata,APJ,IND,Siemens,1043,Manufacturing,SMB,ContactMatcher,38.22,6,0,17.9634,2021,4,2
APJ-2021-115742,18-04-2021,Brian Dickens,India,Kolkata,APJ,IND,Siemens,1043,Manufacturing,SMB,FinanceHub,75.18,6,0,35.3346,2021,4,2
APJ-2021-115742,18-04-2021,Brian Dickens,India,Kolkata,APJ,IND,Siemens,1043,Manufacturing,SMB,SaaS Connector Pack,6.16,2,0,2.9568,2021,4,2
APJ-2021-115742,18-04-2021,Brian Dickens,India,Kolkata,APJ,IND,Siemens,1043,Manufacturing,SMB,FinanceHub,89.99,1,0,17.0981,2021,4,2
EMEA-2022-105816,12-12-2022,Joseph Newman,United Kingdom,London,EMEA,UKIR,Tesco,1059,Retail,Strategic,Storage,15.26,7,0,6.2566,2022,12,4
EMEA-2022-111682,18-06-2022,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,Support,32.4,5,0,15.552,2022,6,2
EMEA-2022-111682,18-06-2022,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,FinanceHub,319.41,5,0.1,7.098,2022,6,2
EMEA-2022-111682,18-06-2022,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,Support,14.56,2,0,6.9888,2022,6,2
EMEA-2022-111682,18-06-2022,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,Data Smasher,30,2,0,3.3,2022,6,2
EMEA-2022-111682,18-06-2022,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,ContactMatcher,48.48,4,0.2,16.362,2022,6,2
EMEA-2022-111682,18-06-2022,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,ChatBot Plugin,1.68,1,0,0.84,2022,6,2
AMER-2021-135545,24-11-2021,Stewart Wilson,United States,New York City,AMER,NAMER,Mondelez International,1067,Consumer Products,SMB,Data Smasher,13.98,2,0,6.1512,2021,11,4
AMER-2021-135545,24-11-2021,Stewart Wilson,United States,New York City,AMER,NAMER,Mondelez International,1067,Consumer Products,SMB,ContactMatcher,25.824,6,0.2,9.3612,2021,11,4
AMER-2021-135545,24-11-2021,Stewart Wilson,United States,New York City,AMER,NAMER,Mondelez International,1067,Consumer Products,SMB,SaaS Connector Pack,79.76,4,0,22.3328,2021,11,4
APJ-2021-164175,30-04-2021,Eric McLean,Australia,Sydney,APJ,ANZ,Abbott Laboratories,1001,Healthcare,Enterprise,FinanceHub,213.115,5,0.3,-15.2225,2021,4,2
EMEA-2022-119823,05-06-2022,Alison Davidson,Spain,Madrid,EMEA,EU-WEST,Fannie Mae,1035,Finance,SMB,Support,75.88,2,0,35.6636,2022,6,2
EMEA-2022-106075,19-09-2022,Sophie Vance,United Kingdom,London,EMEA,UKIR,Aetna,1002,Healthcare,SMB,ContactMatcher,4.616,1,0.2,1.731,2022,9,3
AMER-2023-114440,15-09-2023,Neil Gill,Brazil,Rio de Janeiro,AMER,LATAM,Intel,1051,Tech,SMB,Support,19.05,3,0,8.763,2023,9,3
EMEA-2021-134026,26-04-2021,Anne Lee,South Africa,Cape Town,EMEA,MEA,Oracle,1072,Tech,SMB,SaaS Connector Pack,97.04,2,0.2,1.213,2021,4,2
EMEA-2021-134026,26-04-2021,Anne Lee,South Africa,Cape Town,EMEA,MEA,Oracle,1072,Tech,SMB,Marketing Suite - Gold,72.784,1,0.2,-18.196,2021,4,2
APJ-2023-118038,10-12-2023,Maria Dyer,Japan,Tokyo,APJ,JAPN,Nissan Motor,1098,Transportation,Strategic,Marketing Suite - Gold,27.24,3,0.2,2.724,2023,12,4
EMEA-2022-127208,13-06-2022,Julia Ellison,Portugal,Lisboa,EMEA,EU-WEST,Tyson Foods,1088,Consumer Products,Strategic,ContactMatcher,16.74,3,0,8.0352,2022,6,2
AMER-2020-139451,12-10-2020,Gordon McLean,United States,Los Angeles,AMER,NAMER,Verizon Communications,1094,Communications,SMB,ChatBot Plugin,14.9,5,0,4.172,2020,10,4
AMER-2020-139451,12-10-2020,Gordon McLean,United States,Los Angeles,AMER,NAMER,Verizon Communications,1094,Communications,SMB,Marketing Suite - Gold,21.39,1,0,6.2031,2020,10,4
AMER-2023-140088,29-05-2023,Katherine Dowd,Colombia,BogotÃ¡,AMER,LATAM,Morgan Stanley,1068,Finance,SMB,FinanceHub,301.96,2,0,33.2156,2023,5,2
EMEA-2023-155558,27-10-2023,Sonia Ince,Luxembourg,Luxembourg,EMEA,EU-WEST,Daimler,1052,Transportation,SMB,Data Smasher,19.99,1,0,6.7966,2023,10,4
EMEA-2023-155558,27-10-2023,Sonia Ince,Luxembourg,Luxembourg,EMEA,EU-WEST,Daimler,1052,Transportation,SMB,FinanceHub,6.16,2,0,2.9568,2023,10,4
APJ-2022-159695,06-04-2022,William Lewis,Japan,Tokyo,APJ,JAPN,Fannie Mae,1035,Finance,Enterprise,Marketing Suite - Gold,158.368,7,0.2,13.8572,2022,4,2
AMER-2022-109806,18-09-2022,Melanie Young,United States,New York City,AMER,NAMER,Daimler,1052,Transportation,Strategic,ChatBot Plugin,20.1,3,0,6.633,2022,9,3
AMER-2022-109806,18-09-2022,Melanie Young,United States,New York City,AMER,NAMER,Daimler,1052,Transportation,Strategic,Site Analytics,73.584,2,0.2,8.2782,2022,9,3
AMER-2022-109806,18-09-2022,Melanie Young,United States,New York City,AMER,NAMER,Daimler,1052,Transportation,Strategic,Support,6.48,1,0,3.1104,2022,9,3
EMEA-2021-149587,31-01-2021,Edward Oliver,Luxembourg,Luxembourg,EMEA,EU-WEST,Morgan Stanley,1068,Finance,SMB,Support,12.96,2,0,6.2208,2021,1,1
EMEA-2021-149587,31-01-2021,Edward Oliver,Luxembourg,Luxembourg,EMEA,EU-WEST,Morgan Stanley,1068,Finance,SMB,SaaS Connector Pack,53.34,3,0,16.5354,2021,1,1
EMEA-2021-149587,31-01-2021,Edward Oliver,Luxembourg,Luxembourg,EMEA,EU-WEST,Morgan Stanley,1068,Finance,SMB,ContactMatcher,32.96,2,0,16.1504,2021,1,1
EMEA-2023-161018,10-11-2023,Max Marshall,United Kingdom,London,EMEA,UKIR,Boeing,1014,Manufacturing,Enterprise,SaaS Connector Pack,96.53,7,0,40.5426,2023,11,4
AMER-2023-157833,18-06-2023,Jan Watson,United States,Los Angeles,AMER,NAMER,Valero Energy,1093,Energy,SMB,ContactMatcher,51.312,3,0.2,17.9592,2023,6,2
EMEA-2022-149223,07-09-2022,Carol Ball,Luxembourg,Luxembourg,EMEA,EU-WEST,Nestle,1089,Consumer Products,Strategic,OneView,77.88,6,0,22.5852,2022,9,3
APJ-2022-158568,30-08-2022,Gavin Walsh,Australia,Sydney,APJ,ANZ,Philip Morris International,1075,Consumer Products,Enterprise,Support,64.624,7,0.2,22.6184,2022,8,3
APJ-2022-158568,30-08-2022,Gavin Walsh,Australia,Sydney,APJ,ANZ,Philip Morris International,1075,Consumer Products,Enterprise,Data Smasher,95.976,3,0.2,-10.7973,2022,8,3
EMEA-2022-129903,02-12-2022,Penelope Peake,Luxembourg,Luxembourg,EMEA,EU-WEST,Trafigura Group,1100,Finance,SMB,Support,23.92,4,0,11.7208,2022,12,4
EMEA-2021-156867,13-11-2021,Amy Scott,Russia,Moscow,EMEA,EU-EAST,Walmart,1096,Retail,SMB,Data Smasher,238.896,6,0.2,-26.8758,2021,11,4
EMEA-2021-156867,13-11-2021,Amy Scott,Russia,Moscow,EMEA,EU-EAST,Walmart,1096,Retail,SMB,SaaS Connector Pack,102.36,3,0.2,-3.8385,2021,11,4
EMEA-2023-119004,24-11-2023,Carl Jackson,Sweden,Stockholm,EMEA,NOR,Cisco Systems,1019,Tech,SMB,Data Smasher,74.112,8,0.2,17.6016,2023,11,4
EMEA-2023-119004,24-11-2023,Carl Jackson,Sweden,Stockholm,EMEA,NOR,Cisco Systems,1019,Tech,SMB,Site Analytics,27.992,1,0.2,2.0994,2023,11,4
EMEA-2023-119004,24-11-2023,Carl Jackson,Sweden,Stockholm,EMEA,NOR,Cisco Systems,1019,Tech,SMB,ChatBot Plugin,3.304,1,0.2,1.0738,2023,11,4
EMEA-2023-146780,26-12-2023,Luke Mills,United Kingdom,London,EMEA,UKIR,Prudential Financial,1078,Finance,Strategic,SaaS Connector Pack,41.96,2,0,10.9096,2023,12,4
EMEA-2022-128867,04-11-2022,Alexandra Dyer,Netherlands,The Hague,EMEA,EU-WEST,Walmart,1096,Retail,SMB,ChatBot Plugin,75.96,2,0,22.788,2022,11,4
EMEA-2022-128867,04-11-2022,Alexandra Dyer,Netherlands,The Hague,EMEA,EU-WEST,Walmart,1096,Retail,SMB,ContactMatcher,27.24,6,0,13.3476,2022,11,4
AMER-2020-115259,25-08-2020,Rebecca Dickens,Mexico,Mexico City,AMER,LATAM,Amazon,1004,Tech,SMB,Storage,40.096,14,0.2,14.5348,2020,8,3
AMER-2020-115259,25-08-2020,Rebecca Dickens,Mexico,Mexico City,AMER,LATAM,Amazon,1004,Tech,SMB,SaaS Connector Pack - Gold,4.72,2,0.2,1.652,2020,8,3
AMER-2020-115259,25-08-2020,Rebecca Dickens,Mexico,Mexico City,AMER,LATAM,Amazon,1004,Tech,SMB,Support,23.976,3,0.2,7.4925,2020,8,3
AMER-2020-115259,25-08-2020,Rebecca Dickens,Mexico,Mexico City,AMER,LATAM,Amazon,1004,Tech,SMB,SaaS Connector Pack - Gold,130.464,6,0.2,44.0316,2020,8,3
APJ-2022-103730,13-06-2022,Natalie Sanderson,Philippines,Manila,APJ,APAC,Aetna,1002,Healthcare,SMB,SaaS Connector Pack,47.04,3,0,18.3456,2022,6,2
APJ-2022-103730,13-06-2022,Natalie Sanderson,Philippines,Manila,APJ,APAC,Aetna,1002,Healthcare,SMB,ContactMatcher,30.84,4,0,13.878,2022,6,2
APJ-2022-103730,13-06-2022,Natalie Sanderson,Philippines,Manila,APJ,APAC,Aetna,1002,Healthcare,SMB,Site Analytics,68.04,7,0,19.7316,2022,6,2
AMER-2023-107272,06-11-2023,Anthony Clark,Chile,Santiago,AMER,LATAM,Honda Motor,1045,Manufacturing,SMB,Marketing Suite - Gold,243.992,7,0.2,30.499,2023,11,4
AMER-2022-125969,07-11-2022,Victor Short,United States,New York City,AMER,NAMER,Prudential Financial,1078,Finance,Enterprise,FinanceHub,81.424,2,0.2,-9.1602,2022,11,4
AMER-2022-125969,07-11-2022,Victor Short,United States,New York City,AMER,NAMER,Prudential Financial,1078,Finance,Enterprise,SaaS Connector Pack,238.56,3,0,26.2416,2022,11,4
AMER-2023-164147,03-02-2023,Austin Newman,Mexico,Mexico City,AMER,LATAM,Banco Santander,1101,Finance,Strategic,Site Analytics,59.97,5,0.4,-11.994,2023,2,1
AMER-2023-164147,03-02-2023,Austin Newman,Mexico,Mexico City,AMER,LATAM,Banco Santander,1101,Finance,Strategic,Support,78.304,2,0.2,29.364,2023,2,1
AMER-2023-164147,03-02-2023,Austin Newman,Mexico,Mexico City,AMER,LATAM,Banco Santander,1101,Finance,Strategic,Storage,21.456,9,0.2,6.9732,2023,2,1
AMER-2022-145583,14-10-2022,Rose Scott,United States,Aurora,AMER,NAMER,CVS Health,1026,Retail,SMB,Support,20.04,3,0,9.6192,2022,10,4
AMER-2022-145583,14-10-2022,Rose Scott,United States,Aurora,AMER,NAMER,CVS Health,1026,Retail,SMB,Support,35.44,1,0,16.6568,2022,10,4
AMER-2022-145583,14-10-2022,Rose Scott,United States,Aurora,AMER,NAMER,CVS Health,1026,Retail,SMB,ChatBot Plugin,11.52,4,0,3.456,2022,10,4
AMER-2022-145583,14-10-2022,Rose Scott,United States,Aurora,AMER,NAMER,CVS Health,1026,Retail,SMB,Storage,4.02,2,0,1.9698,2022,10,4
AMER-2022-145583,14-10-2022,Rose Scott,United States,Aurora,AMER,NAMER,CVS Health,1026,Retail,SMB,ContactMatcher,76.176,3,0.2,26.6616,2022,10,4
AMER-2022-145583,14-10-2022,Rose Scott,United States,Aurora,AMER,NAMER,CVS Health,1026,Retail,SMB,Support,65.88,6,0,18.4464,2022,10,4
AMER-2022-145583,14-10-2022,Rose Scott,United States,Aurora,AMER,NAMER,CVS Health,1026,Retail,SMB,SaaS Connector Pack,43.12,14,0,20.6976,2022,10,4
EMEA-2022-110366,06-09-2022,Tim Morrison,France,Paris,EMEA,EU-WEST,General Motors,1041,Manufacturing,Strategic,SaaS Connector Pack,82.8,2,0.2,10.35,2022,9,3
AMER-2023-106180,19-09-2023,Harry Murray,United States,Los Angeles,AMER,NAMER,State Farm Insurance Cos.,1082,Finance,Strategic,ChatBot Plugin,8.82,3,0,2.3814,2023,9,3
AMER-2023-106180,19-09-2023,Harry Murray,United States,Los Angeles,AMER,NAMER,State Farm Insurance Cos.,1082,Finance,Strategic,SaaS Connector Pack - Gold,10.86,3,0,5.1042,2023,9,3
AMER-2020-110072,22-10-2020,Lisa Oliver,Mexico,Monterrey,AMER,LATAM,Toyota Motor,1087,Manufacturing,Enterprise,SaaS Connector Pack,93.888,4,0.2,12.9096,2020,10,4
EMEA-2022-114489,06-12-2022,Joseph Duncan,Italy,Rome,EMEA,EU,Walmart,1096,Retail,Strategic,Site Analytics,149.97,3,0,5.9988,2022,12,4
AMER-2022-158834,14-03-2022,Paul MacDonald,Chile,Puente Alto,AMER,LATAM,Johnson & Johnson,1055,Healthcare,Enterprise,OneView,157.92,5,0.2,17.766,2022,3,1
AMER-2022-158834,14-03-2022,Paul MacDonald,Chile,Puente Alto,AMER,LATAM,Johnson & Johnson,1055,Healthcare,Enterprise,Site Analytics,203.184,2,0.2,15.2388,2022,3,1
AMER-2021-124919,31-05-2021,Gordon Graham,United States,Chicago,AMER,NAMER,Engie,1062,Energy,Strategic,Support,58.38,7,0,26.271,2021,5,2
AMER-2021-124919,31-05-2021,Gordon Graham,United States,Chicago,AMER,NAMER,Engie,1062,Energy,Strategic,Support,105.52,4,0,48.5392,2021,5,2
AMER-2021-124919,31-05-2021,Gordon Graham,United States,Chicago,AMER,NAMER,Engie,1062,Energy,Strategic,Marketing Suite - Gold,80.88,6,0,21.0288,2021,5,2
AMER-2021-118948,28-05-2021,Sean Bower,Canada,Toronto,AMER,NAMER,HonHai Precision Industry,1033,Tech,Enterprise,ChatBot Plugin,6.63,3,0,1.7901,2021,5,2
APJ-2022-114104,21-11-2022,Stewart Marshall,Singapore,Singapore,APJ,APAC,Daimler,1052,Transportation,SMB,FinanceHub,14.62,2,0,6.8714,2022,11,4
AMER-2022-162733,12-05-2022,Joanne Carr,United States,New York City,AMER,NAMER,J.P. Morgan Chase & Co.,1054,Finance,SMB,Support,5.98,1,0,2.691,2022,5,2
EMEA-2021-119697,28-12-2021,Angela Davies,France,Paris,EMEA,EU-WEST,Kroger,1057,Retail,SMB,Data Smasher,54.384,2,0.2,1.3596,2021,12,4
APJ-2022-154508,17-11-2022,William Alsop,New Zealand,Wellington,APJ,ANZ,Mondelez International,1067,Consumer Products,SMB,SaaS Connector Pack - Gold,28.4,5,0,13.348,2022,11,4
AMER-2022-113817,08-11-2022,Owen Watson,Canada,Toronto,AMER,NAMER,Volkswagen,1046,Manufacturing,SMB,ContactMatcher,27.68,2,0.2,9.688,2022,11,4
APJ-2020-139892,08-09-2020,Melanie Davidson,Japan,Osaka,APJ,JAPN,Nissan Motor,1098,Transportation,SMB,ChatBot Plugin,9.936,3,0.2,2.7324,2020,9,3
APJ-2020-139892,08-09-2020,Melanie Davidson,Japan,Osaka,APJ,JAPN,Nissan Motor,1098,Transportation,SMB,ChatBot Plugin,32.064,6,0.2,6.8136,2020,9,3
APJ-2020-139892,08-09-2020,Melanie Davidson,Japan,Osaka,APJ,JAPN,Nissan Motor,1098,Transportation,SMB,Site Analytics,143.976,3,0.2,8.9985,2020,9,3
AMER-2020-118962,05-08-2020,Warren Forsyth,United States,New York City,AMER,NAMER,Chevron,1017,Energy,SMB,Support,20.94,3,0,9.8418,2020,8,3
AMER-2020-118962,05-08-2020,Warren Forsyth,United States,New York City,AMER,NAMER,Chevron,1017,Energy,SMB,FinanceHub,340.144,7,0.2,21.259,2020,8,3
APJ-2020-100853,14-09-2020,Gabrielle Ogden,Australia,Sydney,APJ,ANZ,Royal Dutch Shell,1031,Energy,Strategic,FinanceHub,20.16,4,0.2,6.552,2020,9,3
AMER-2021-101511,21-11-2021,Anne Lee,Mexico,Monterrey,AMER,LATAM,Oracle,1072,Tech,SMB,FinanceHub,396.802,7,0.3,-11.3372,2021,11,4
AMER-2021-101511,21-11-2021,Anne Lee,Mexico,Monterrey,AMER,LATAM,Oracle,1072,Tech,SMB,Support,15.88,5,0.2,-3.7715,2021,11,4
EMEA-2021-137225,15-12-2021,Jack Graham,United Kingdom,London,EMEA,UKIR,Microsoft,1066,Tech,Enterprise,ChatBot Plugin,3.28,1,0,1.4104,2021,12,4
APJ-2020-166191,05-12-2020,Sophie Henderson,Australia,Melbourne,APJ,ANZ,Merck,1064,Healthcare,Strategic,Marketing Suite - Gold,24.816,2,0.2,1.8612,2020,12,4
EMEA-2020-158274,19-11-2020,Brian Short,Czech Republic,Prague,EMEA,EU-EAST,Merck,1064,Healthcare,Enterprise,Site Analytics,149.95,5,0,41.986,2020,11,4
EMEA-2020-158274,19-11-2020,Brian Short,Czech Republic,Prague,EMEA,EU-EAST,Merck,1064,Healthcare,Enterprise,Data Smasher,29,2,0,7.25,2020,11,4
EMEA-2022-105018,29-11-2022,Samantha Lawrence,Saudi Arabia,Riyadh,EMEA,MEA,J.P. Morgan Chase & Co.,1054,Finance,SMB,ContactMatcher,7.16,2,0,3.4368,2022,11,4
AMER-2020-123260,26-08-2020,Una Hudson,United States,Raleigh,AMER,NAMER,AT&T,1010,Communications,Enterprise,Data Smasher,176.8,8,0,22.984,2020,8,3
APJ-2022-157000,17-07-2022,Kimberly North,Japan,Tokyo,APJ,JAPN,Carrefour,1048,Retail,Strategic,Marketing Suite - Gold,37.224,3,0.2,3.7224,2022,7,3
APJ-2022-157000,17-07-2022,Kimberly North,Japan,Saitama,APJ,JAPN,Carrefour,1048,Retail,Strategic,Support,20.016,3,0.2,6.255,2022,7,3
EMEA-2021-102281,12-10-2021,Dylan Ogden,United Kingdom,London,EMEA,UKIR,HonHai Precision Industry,1033,Tech,Enterprise,Site Analytics,71.76,6,0,20.0928,2021,10,4
EMEA-2021-102281,12-10-2021,Dylan Ogden,United Kingdom,London,EMEA,UKIR,HonHai Precision Industry,1033,Tech,Enterprise,Support,51.84,8,0,24.8832,2021,10,4
EMEA-2021-102281,12-10-2021,Dylan Ogden,United Kingdom,London,EMEA,UKIR,HonHai Precision Industry,1033,Tech,Enterprise,ChatBot Plugin,19.9,5,0,6.567,2021,10,4
AMER-2021-131457,31-10-2021,Jonathan Clark,United States,Providence,AMER,NAMER,Allstate,1003,Finance,Strategic,SaaS Connector Pack - Gold,14.28,7,0,6.7116,2021,10,4
AMER-2020-140004,21-03-2020,Kevin Vaughan,Mexico,Mexico City,AMER,LATAM,Tyson Foods,1088,Consumer Products,SMB,ChatBot Plugin,7.408,2,0.2,1.2038,2020,3,1
AMER-2020-140004,21-03-2020,Kevin Vaughan,Mexico,Mexico City,AMER,LATAM,Tyson Foods,1088,Consumer Products,SMB,ChatBot Plugin,6.048,3,0.2,1.5876,2020,3,1
AMER-2023-107720,07-11-2023,Madeleine Smith,Argentina,CÃ³rdoba,AMER,LATAM,BMW,1039,Manufacturing,Enterprise,Marketing Suite - Gold,46.26,3,0,12.0276,2023,11,4
EMEA-2023-124303,07-07-2023,Diana Ince,France,Paris,EMEA,EU-WEST,Humana,1049,Healthcare,Strategic,Support,16.056,3,0.2,5.8203,2023,7,3
AMER-2023-105074,25-06-2023,Tracey Knox,Mexico,Guadalajara,AMER,LATAM,Gazprom,1027,Energy,SMB,Support,21.744,3,0.2,6.795,2023,6,2
EMEA-2020-133690,03-08-2020,Michelle McLean,Russia,Moscow,EMEA,EU-EAST,Johnson & Johnson,1055,Healthcare,SMB,OneView,2.6,1,0.2,0.2925,2020,8,3
EMEA-2023-126382,04-06-2023,Jan Clark,South Africa,Cape Town,EMEA,MEA,Samsung Electronics,1015,Tech,Strategic,SaaS Connector Pack,35.168,7,0.2,9.6712,2023,6,2
AMER-2023-108329,10-12-2023,Pippa Smith,United States,Oklahoma City,AMER,NAMER,Johnson & Johnson,1055,Healthcare,SMB,Site Analytics,444.768,4,0.2,44.4768,2023,12,4
AMER-2023-135860,02-12-2023,Rebecca Wilson,Brazil,Rio de Janeiro,AMER,LATAM,Morgan Stanley,1068,Finance,SMB,Marketing Suite - Gold,83.92,4,0,5.8744,2023,12,4
AMER-2023-135860,02-12-2023,Rebecca Wilson,Brazil,Rio de Janeiro,AMER,LATAM,Morgan Stanley,1068,Finance,SMB,Site Analytics,131.98,2,0,35.6346,2023,12,4
AMER-2023-135860,02-12-2023,Rebecca Wilson,Brazil,Rio de Janeiro,AMER,LATAM,Morgan Stanley,1068,Finance,SMB,ContactMatcher,15.92,4,0,7.4824,2023,12,4
AMER-2023-135860,02-12-2023,Rebecca Wilson,Brazil,Rio de Janeiro,AMER,LATAM,Morgan Stanley,1068,Finance,SMB,Storage,52.29,9,0,16.2099,2023,12,4
